Latitude (decimal degrees):	42.605
Longitude (decimal degrees):	23.482
Elevation (m):	699
Radiation database:	PVGIS-SARAH2


Slope: 17 deg. 
Azimuth: 7 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.2
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200330:2210,0.0,0.0,0.0,1.01,1.45,0.0
20200330:2310,0.0,0.0,0.0,-0.12,1.52,0.0
20200331:0010,0.0,0.0,0.0,-0.71,1.38,0.0
20200331:0110,0.0,0.0,0.0,-1.36,1.38,0.0
20200331:0210,0.0,0.0,0.0,-1.95,1.31,0.0
20200331:0310,0.0,0.0,0.0,-2.24,1.31,0.0
20200331:0410,0.0,0.0,0.0,-2.36,1.17,0.0
20200331:0510,237.28,120.58,10.09,-1.85,0.97,0.0
20200331:0610,448.16,172.96,20.98,-0.06,1.38,0.0
20200331:0710,913.22,335.41,31.32,1.92,1.31,0.0
20200331:0810,1530.46,560.95,40.51,3.77,1.66,0.0
20200331:0910,1294.85,480.61,47.6,5.62,1.45,0.0
20200331:1010,2314.14,887.23,51.29,6.5,1.31,0.0
20200331:1110,1834.75,691.96,50.57,7.29,1.52,0.0
20200331:1210,788.35,299.13,45.65,7.69,1.72,0.0
20200331:1310,433.12,171.91,37.77,7.45,2.14,0.0
20200331:1410,501.82,195.18,28.13,6.5,2.34,0.0
20200331:1510,312.64,128.53,17.56,5.56,2.41,0.0
20200331:1610,51.74,31.81,6.58,4.22,2.34,0.0
20200331:1710,0.0,0.0,0.0,3.02,2.14,0.0
20200331:1810,0.0,0.0,0.0,1.91,1.72,0.0
20200331:1910,0.0,0.0,0.0,-0.02,1.79,0.0
20200331:2010,0.0,0.0,0.0,-0.53,1.72,0.0
20200331:2110,0.0,0.0,0.0,-0.92,1.59,0.0
20200331:2210,0.0,0.0,0.0,-1.23,1.52,0.0
20200331:2310,0.0,0.0,0.0,-1.54,1.59,0.0
20200401:0010,0.0,0.0,0.0,-1.87,1.66,0.0
20200401:0110,0.0,0.0,0.0,-2.2,1.72,0.0
20200401:0210,0.0,0.0,0.0,-2.23,1.79,0.0
20200401:0310,0.0,0.0,0.0,-2.15,1.86,0.0
20200401:0410,0.0,0.0,0.0,-2.33,1.93,0.0
20200401:0510,9.92,11.79,10.41,-2.21,2.07,0.0
20200401:0610,56.1,32.42,21.31,-1.88,2.55,0.0
20200401:0710,89.15,45.19,31.67,-2.36,2.62,0.0
20200401:0810,177.79,77.61,40.88,-1.38,3.03,0.0
20200401:0910,261.38,107.08,47.99,-0.58,3.24,0.0
20200401:1010,323.39,128.69,51.68,-0.02,3.38,0.0
20200401:1110,291.68,117.88,50.93,0.19,3.31,0.0
20200401:1210,240.61,100.2,45.96,0.21,3.17,0.0
20200401:1310,249.25,103.15,38.03,0.04,3.1,0.0
20200401:1410,244.03,101.18,28.36,-0.39,2.83,0.0
20200401:1510,32.32,22.59,17.77,-0.67,2.62,0.0
20200401:1610,100.1,52.67,6.79,-1.14,2.21,0.0
20200401:1710,0.0,0.0,0.0,-1.55,1.93,0.0
20200401:1810,0.0,0.0,0.0,-1.84,1.86,0.0
20200401:1910,0.0,0.0,0.0,-2.43,1.86,0.0
20200401:2010,0.0,0.0,0.0,-2.54,1.86,0.0
20200401:2110,0.0,0.0,0.0,-2.74,1.79,0.0
20200401:2210,0.0,0.0,0.0,-2.82,1.72,0.0
20200401:2310,0.0,0.0,0.0,-2.94,1.59,0.0
20200402:0010,0.0,0.0,0.0,-3.1,1.66,0.0
20200402:0110,0.0,0.0,0.0,-3.3,1.52,0.0
20200402:0210,0.0,0.0,0.0,-3.51,1.45,0.0
20200402:0310,0.0,0.0,0.0,-3.7,1.38,0.0
20200402:0410,0.0,0.0,0.0,-3.89,1.24,0.0
20200402:0510,28.45,20.63,10.73,-4.02,1.17,0.0
20200402:0610,325.22,127.89,21.63,-3.75,1.31,0.0
20200402:0710,394.72,152.27,32.01,-2.23,1.52,0.0
20200402:0810,387.23,150.3,41.24,-1.12,1.79,0.0
20200402:0910,589.28,220.05,48.38,-0.38,1.79,0.0
20200402:1010,472.8,180.75,52.08,0.58,1.93,0.0
20200402:1110,491.26,187.63,51.29,1.34,2.07,0.0
20200402:1210,489.66,187.63,46.27,1.99,2.0,0.0
20200402:1310,543.81,206.59,38.29,2.23,1.93,0.0
20200402:1410,390.24,153.55,28.58,2.4,1.72,0.0
20200402:1510,376.06,149.4,17.97,2.15,1.59,0.0
20200402:1610,137.6,72.64,6.99,1.19,1.31,0.0
20200402:1710,0.0,0.0,0.0,-1.34,1.24,0.0
20200402:1810,0.0,0.0,0.0,-1.74,1.03,0.0
20200402:1910,0.0,0.0,0.0,-2.67,1.1,0.0
20200402:2010,0.0,0.0,0.0,-3.26,1.17,0.0
20200402:2110,0.0,0.0,0.0,-4.05,1.31,0.0
20200402:2210,0.0,0.0,0.0,-4.67,1.38,0.0
20200402:2310,0.0,0.0,0.0,-5.13,1.38,0.0
20200403:0010,0.0,0.0,0.0,-5.4,1.45,0.0
20200403:0110,0.0,0.0,0.0,-6.13,1.52,0.0
20200403:0210,0.0,0.0,0.0,-6.91,1.59,0.0
20200403:0310,0.0,0.0,0.0,-7.45,1.59,0.0
20200403:0410,0.0,0.0,0.0,-8.22,1.66,0.0
20200403:0510,243.33,107.03,11.04,-7.56,1.52,0.0
20200403:0610,614.05,229.85,21.95,-2.04,0.9,0.0
20200403:0710,1131.3,416.43,32.35,2.64,0.69,0.0
20200403:0810,1579.04,591.79,41.6,5.1,0.48,0.0
20200403:0910,1862.82,711.76,48.76,6.81,0.55,0.0
20200403:1010,2007.9,777.7,52.47,8.16,0.62,0.0
20200403:1110,2112.42,817.22,51.65,8.17,0.9,0.0
20200403:1210,2159.94,834.22,46.58,8.49,1.03,0.0
20200403:1310,1884.19,725.98,38.55,10.65,0.97,0.0
20200403:1410,1355.1,519.64,28.81,11.46,0.76,0.0
20200403:1510,639.3,254.71,18.18,10.23,0.83,0.0
20200403:1610,161.25,89.12,7.19,8.7,1.03,0.0
20200403:1710,0.0,0.0,0.0,6.61,1.24,0.0
20200403:1810,0.0,0.0,0.0,5.88,1.24,0.0
20200403:1910,0.0,0.0,0.0,4.48,1.45,0.0
20200403:2010,0.0,0.0,0.0,4.08,1.31,0.0
20200403:2110,0.0,0.0,0.0,4.06,1.24,0.0
20200403:2210,0.0,0.0,0.0,3.8,1.1,0.0
20200403:2310,0.0,0.0,0.0,3.66,0.97,0.0
20200404:0010,0.0,0.0,0.0,3.37,0.83,0.0
20200404:0110,0.0,0.0,0.0,3.04,0.76,0.0
20200404:0210,0.0,0.0,0.0,2.19,0.9,0.0
20200404:0310,0.0,0.0,0.0,1.49,0.97,0.0
20200404:0410,0.0,0.0,0.0,1.2,0.97,0.0
20200404:0510,11.46,12.77,11.36,1.52,0.9,0.0
20200404:0610,64.06,36.35,22.28,3.6,1.1,0.0
20200404:0710,99.14,50.1,32.68,3.73,2.0,0.0
20200404:0810,327.36,132.62,41.96,4.34,2.21,0.0
20200404:0910,384.48,153.25,49.14,5.49,2.62,0.0
20200404:1010,401.15,159.14,52.85,5.57,2.69,0.0
20200404:1110,431.46,169.95,52.01,5.92,2.9,0.0
20200404:1210,258.59,109.04,46.89,6.12,3.03,0.0
20200404:1310,152.77,70.73,38.81,6.09,2.9,0.0
20200404:1410,108.32,54.03,29.03,5.94,2.62,0.0
20200404:1510,134.66,63.85,18.39,5.42,2.34,0.0
20200404:1610,27.1,20.63,7.39,4.4,2.14,0.0
20200404:1710,0.0,0.0,0.0,3.64,1.93,0.0
20200404:1810,0.0,0.0,0.0,3.14,1.86,0.0
20200404:1910,0.0,0.0,0.0,2.79,2.0,0.0
20200404:2010,0.0,0.0,0.0,2.57,2.07,0.0
20200404:2110,0.0,0.0,0.0,2.34,2.0,0.0
20200404:2210,0.0,0.0,0.0,2.01,1.93,0.0
20200404:2310,0.0,0.0,0.0,1.84,1.79,0.0
20200405:0010,0.0,0.0,0.0,1.66,1.79,0.0
20200405:0110,0.0,0.0,0.0,1.63,1.86,0.0
20200405:0210,0.0,0.0,0.0,1.64,1.86,0.0
20200405:0310,0.0,0.0,0.0,1.75,1.86,0.0
20200405:0410,0.0,0.0,0.0,1.87,2.07,0.0
20200405:0510,15.2,14.74,11.67,1.97,2.21,0.0
20200405:0610,204.9,88.41,22.6,2.1,2.34,0.0
20200405:0710,129.18,60.91,33.02,1.61,2.41,0.0
20200405:0810,336.99,134.58,42.32,1.89,2.48,0.0
20200405:0910,430.43,167.0,49.53,1.99,2.34,0.0
20200405:1010,310.91,125.74,53.24,2.32,2.48,0.0
20200405:1110,629.66,236.75,52.36,2.91,2.48,0.0
20200405:1210,250.5,105.11,47.19,3.52,2.48,0.0
20200405:1310,426.85,167.0,39.06,3.97,2.76,0.0
20200405:1410,210.59,91.36,29.25,4.76,2.76,0.0
20200405:1510,428.19,169.66,18.59,5.25,2.9,0.0
20200405:1610,176.26,94.33,7.59,5.17,1.72,0.0
20200405:1710,0.0,0.0,0.0,4.48,1.66,0.0
20200405:1810,0.0,0.0,0.0,4.21,2.0,0.0
20200405:1910,0.0,0.0,0.0,3.35,1.93,0.0
20200405:2010,0.0,0.0,0.0,2.74,1.93,0.0
20200405:2110,0.0,0.0,0.0,2.03,1.93,0.0
20200405:2210,0.0,0.0,0.0,1.29,1.79,0.0
20200405:2310,0.0,0.0,0.0,0.65,1.72,0.0
20200406:0010,0.0,0.0,0.0,-0.02,1.79,0.0
20200406:0110,0.0,0.0,0.0,-0.91,1.72,0.0
20200406:0210,0.0,0.0,0.0,-1.59,1.66,0.0
20200406:0310,0.0,0.0,0.0,-2.02,1.59,0.0
20200406:0410,0.0,0.0,0.0,-2.63,1.45,0.0
20200406:0510,141.28,64.68,11.98,-2.27,1.38,0.0
20200406:0610,490.98,188.07,22.91,0.89,1.59,0.0
20200406:0710,1484.9,538.15,33.35,2.79,2.48,0.0
20200406:0810,2144.48,784.0,42.68,3.96,3.03,0.0
20200406:0910,2491.39,919.9,49.9,5.25,3.86,0.0
20200406:1010,2086.53,769.11,53.63,6.3,3.93,0.0
20200406:1110,1241.6,456.63,52.72,6.5,3.93,0.0
20200406:1210,801.7,301.57,47.49,8.04,4.41,0.0
20200406:1310,945.66,352.94,39.32,8.59,4.14,0.0
20200406:1410,650.82,248.55,29.48,8.57,4.07,0.0
20200406:1510,318.91,131.65,18.79,7.91,3.72,0.0
20200406:1610,69.92,39.52,7.79,6.87,3.38,0.0
20200406:1710,0.0,0.0,0.0,5.33,3.03,0.0
20200406:1810,0.0,0.0,0.0,4.08,2.76,0.0
20200406:1910,0.0,0.0,0.0,3.43,2.48,0.0
20200406:2010,0.0,0.0,0.0,2.28,2.0,0.0
20200406:2110,0.0,0.0,0.0,0.64,1.79,0.0
20200406:2210,0.0,0.0,0.0,-0.97,1.66,0.0
20200406:2310,0.0,0.0,0.0,-1.84,1.59,0.0
20200407:0010,0.0,0.0,0.0,-2.23,1.45,0.0
20200407:0110,0.0,0.0,0.0,-2.25,1.24,0.0
20200407:0210,0.0,0.0,0.0,-2.38,1.24,0.0
20200407:0310,0.0,0.0,0.0,-2.69,1.24,0.0
20200407:0410,0.0,0.0,0.0,-2.97,1.24,0.0
20200407:0510,332.16,160.16,12.29,-2.52,1.17,0.0
20200407:0610,1072.99,401.46,23.23,0.38,1.59,0.0
20200407:0710,1668.29,606.71,33.68,2.53,2.07,0.0
20200407:0810,2205.57,814.32,43.03,4.44,2.48,0.0
20200407:0910,2577.28,966.34,50.28,5.91,3.03,0.0
20200407:1010,2737.6,1032.61,54.01,7.09,3.66,0.0
20200407:1110,2669.54,1007.46,53.07,7.94,3.79,0.0
20200407:1210,2452.9,920.37,47.79,8.61,3.79,0.0
20200407:1310,2120.26,786.9,39.57,8.82,3.79,0.0
20200407:1410,1551.65,573.12,29.69,8.52,3.59,0.0
20200407:1510,899.14,348.69,19.0,8.02,3.24,0.0
20200407:1610,210.46,116.07,7.99,7.24,2.62,0.0
20200407:1710,0.0,0.0,0.0,5.69,2.07,0.0
20200407:1810,0.0,0.0,0.0,4.03,1.86,0.0
20200407:1910,0.0,0.0,0.0,2.66,1.86,0.0
20200407:2010,0.0,0.0,0.0,1.13,1.59,0.0
20200407:2110,0.0,0.0,0.0,0.8,1.31,0.0
20200407:2210,0.0,0.0,0.0,1.08,1.1,0.0
20200407:2310,0.0,0.0,0.0,1.07,0.97,0.0
20200408:0010,0.0,0.0,0.0,0.99,0.9,0.0
20200408:0110,0.0,0.0,0.0,0.85,0.76,0.0
20200408:0210,0.0,0.0,0.0,0.52,0.69,0.0
20200408:0310,0.0,0.0,0.0,0.23,0.69,0.0
20200408:0410,0.0,0.0,0.0,0.03,0.76,0.0
20200408:0510,338.4,160.33,12.6,0.01,0.76,0.0
20200408:0610,1073.57,407.3,23.54,2.82,1.03,0.0
20200408:0710,1736.7,641.26,34.0,5.1,1.86,0.0
20200408:0810,2237.76,838.93,43.38,6.41,2.14,0.0
20200408:0910,2578.56,982.46,50.66,7.64,2.55,0.0
20200408:1010,2728.7,1049.08,54.39,8.75,2.9,0.0
20200408:1110,2689.82,1036.48,53.42,9.69,2.97,0.0
20200408:1210,2508.16,959.33,48.08,10.29,3.03,0.0
20200408:1310,2172.51,819.44,39.81,10.55,3.1,0.0
20200408:1410,1628.74,609.15,29.91,10.36,3.1,0.0
20200408:1510,924.26,361.57,19.2,9.68,3.03,0.0
20200408:1610,209.92,114.26,8.18,8.49,2.55,0.0
20200408:1710,0.0,0.0,0.0,6.74,1.72,0.0
20200408:1810,0.0,0.0,0.0,4.8,1.38,0.0
20200408:1910,0.0,0.0,0.0,3.75,1.17,0.0
20200408:2010,0.0,0.0,0.0,3.79,0.97,0.0
20200408:2110,0.0,0.0,0.0,3.55,0.83,0.0
20200408:2210,0.0,0.0,0.0,2.95,0.69,0.0
20200408:2310,0.0,0.0,0.0,2.5,0.62,0.0
20200409:0010,0.0,0.0,0.0,2.06,0.69,0.0
20200409:0110,0.0,0.0,0.0,1.74,0.69,0.0
20200409:0210,0.0,0.0,0.0,1.49,0.69,0.0
20200409:0310,0.0,0.0,0.0,1.22,0.69,0.0
20200409:0410,0.0,0.0,0.0,0.96,0.69,0.0
20200409:0510,347.87,163.73,12.9,1.09,0.55,0.0
20200409:0610,1058.18,404.85,23.85,4.18,0.55,0.0
20200409:0710,1681.89,634.29,34.33,7.37,0.97,0.0
20200409:0810,2191.3,841.33,43.72,9.23,1.45,0.0
20200409:0910,2510.62,984.75,51.03,10.6,1.66,0.0
20200409:1010,2632.19,1044.87,54.77,11.7,1.79,0.0
20200409:1110,2623.78,1037.57,53.77,12.63,2.21,0.0
20200409:1210,2439.55,953.84,48.38,13.2,2.41,0.0
20200409:1310,2094.18,805.69,40.06,13.38,2.48,0.0
20200409:1410,1577.15,600.66,30.13,13.17,2.48,0.0
20200409:1510,909.7,361.59,19.4,12.57,2.34,0.0
20200409:1610,212.1,116.42,8.38,11.39,1.72,0.0
20200409:1710,0.0,0.0,0.0,9.38,1.31,0.0
20200409:1810,0.0,0.0,0.0,7.87,0.97,0.0
20200409:1910,0.0,0.0,0.0,9.43,0.9,0.0
20200409:2010,0.0,0.0,0.0,8.3,0.48,0.0
20200409:2110,0.0,0.0,0.0,7.31,0.0,0.0
20200409:2210,0.0,0.0,0.0,6.59,0.41,0.0
20200409:2310,0.0,0.0,0.0,5.73,0.83,0.0
20200410:0010,0.0,0.0,0.0,4.75,0.97,0.0
20200410:0110,0.0,0.0,0.0,4.22,1.1,0.0
20200410:0210,0.0,0.0,0.0,3.89,1.1,0.0
20200410:0310,0.0,0.0,0.0,3.58,1.17,0.0
20200410:0410,0.0,0.0,0.0,3.14,1.24,0.0
20200410:0510,344.58,157.93,13.2,2.72,1.17,0.0
20200410:0610,1033.44,397.24,24.15,5.9,0.62,0.0
20200410:0710,1636.19,623.88,34.65,9.8,0.97,0.0
20200410:0810,2118.43,821.38,44.07,11.97,1.59,0.0
20200410:0910,2410.5,948.6,51.4,13.31,2.07,0.0
20200410:1010,2569.15,1022.43,55.14,14.11,2.21,0.0
20200410:1110,2516.9,1002.52,54.11,14.73,2.21,0.0
20200410:1210,2364.77,933.24,48.67,15.21,2.34,0.0
20200410:1310,2041.34,793.13,40.3,15.37,2.41,0.0
20200410:1410,1530.14,588.11,30.34,15.15,2.48,0.0
20200410:1510,861.22,344.93,19.59,14.58,2.28,0.0
20200410:1610,194.27,102.65,8.58,13.39,1.52,0.0
20200410:1710,0.0,0.0,0.0,11.45,1.31,0.0
20200410:1810,0.0,0.0,0.0,10.02,1.24,0.0
20200410:1910,0.0,0.0,0.0,11.09,1.03,0.0
20200410:2010,0.0,0.0,0.0,9.82,1.1,0.0
20200410:2110,0.0,0.0,0.0,8.61,1.17,0.0
20200410:2210,0.0,0.0,0.0,7.93,1.1,0.0
20200410:2310,0.0,0.0,0.0,7.27,1.17,0.0
20200411:0010,0.0,0.0,0.0,6.56,1.17,0.0
20200411:0110,0.0,0.0,0.0,5.39,1.31,0.0
20200411:0210,0.0,0.0,0.0,4.25,1.38,0.0
20200411:0310,0.0,0.0,0.0,3.97,1.38,0.0
20200411:0410,0.0,4.84,2.5,4.03,1.31,0.0
20200411:0510,352.26,162.42,13.5,4.3,1.17,0.0
20200411:0610,1027.78,397.11,24.46,7.31,0.69,0.0
20200411:0710,1643.01,629.58,34.97,10.72,0.9,0.0
20200411:0810,2130.5,823.79,44.41,12.36,1.86,0.0
20200411:0910,2451.55,967.98,51.76,13.37,1.93,0.0
20200411:1010,2528.1,1007.01,55.52,14.27,2.07,0.0
20200411:1110,2503.81,999.07,54.45,14.85,2.07,0.0
20200411:1210,2130.78,836.15,48.96,15.2,2.14,0.0
20200411:1310,2033.66,789.35,40.55,15.02,2.28,0.0
20200411:1410,1473.76,566.26,30.55,14.93,2.28,0.0
20200411:1510,750.66,300.23,19.79,14.34,2.28,0.0
20200411:1610,206.27,110.08,8.77,13.1,1.86,0.0
20200411:1710,0.0,0.0,0.0,11.38,1.45,0.0
20200411:1810,0.0,0.0,0.0,9.35,1.24,0.0
20200411:1910,0.0,0.0,0.0,8.37,1.03,0.0
20200411:2010,0.0,0.0,0.0,8.53,0.9,0.0
20200411:2110,0.0,0.0,0.0,7.88,0.76,0.0
20200411:2210,0.0,0.0,0.0,7.18,0.69,0.0
20200411:2310,0.0,0.0,0.0,6.31,0.83,0.0
20200412:0010,0.0,0.0,0.0,5.16,1.03,0.0
20200412:0110,0.0,0.0,0.0,4.24,1.17,0.0
20200412:0210,0.0,0.0,0.0,3.13,1.24,0.0
20200412:0310,0.0,0.0,0.0,2.42,1.38,0.0
20200412:0410,0.0,4.84,2.8,1.8,1.45,0.0
20200412:0510,353.18,157.35,13.8,2.54,1.31,0.0
20200412:0610,1020.64,389.75,24.76,6.27,1.31,0.0
20200412:0710,1653.73,623.03,35.28,9.07,1.59,0.0
20200412:0810,2091.62,809.28,44.75,10.99,1.31,0.0
20200412:0910,2232.32,886.13,52.13,12.52,0.97,0.0
20200412:1010,1674.53,659.22,55.89,13.71,0.62,0.0
20200412:1110,1704.13,675.04,54.79,14.08,0.41,0.0
20200412:1210,2068.96,834.26,49.24,14.11,0.28,0.0
20200412:1310,1746.34,689.01,40.79,14.75,0.55,0.0
20200412:1410,1448.35,565.35,30.76,14.52,0.62,0.0
20200412:1510,744.61,298.63,19.99,13.77,1.1,0.0
20200412:1610,213.5,113.63,8.97,12.75,1.52,0.0
20200412:1710,0.0,0.0,0.0,10.91,1.72,0.0
20200412:1810,0.0,0.0,0.0,9.21,1.79,0.0
20200412:1910,0.0,0.0,0.0,8.35,1.79,0.0
20200412:2010,0.0,0.0,0.0,6.84,1.86,0.0
20200412:2110,0.0,0.0,0.0,5.65,1.79,0.0
20200412:2210,0.0,0.0,0.0,4.93,1.72,0.0
20200412:2310,0.0,0.0,0.0,4.11,1.66,0.0
20200413:0010,0.0,0.0,0.0,3.56,1.66,0.0
20200413:0110,0.0,0.0,0.0,3.12,1.59,0.0
20200413:0210,0.0,0.0,0.0,2.68,1.66,0.0
20200413:0310,0.0,0.0,0.0,2.15,1.66,0.0
20200413:0410,1.57,6.77,3.1,1.47,1.59,0.0
20200413:0510,356.51,157.21,14.09,3.15,1.24,0.0
20200413:0610,977.34,376.26,25.06,8.15,1.1,0.0
20200413:0710,1594.3,606.96,35.59,10.88,1.38,0.0
20200413:0810,2058.14,800.52,45.08,13.03,1.59,0.0
20200413:0910,2376.8,944.96,52.49,14.66,1.79,0.0
20200413:1010,2532.19,1010.83,56.26,15.96,2.48,0.0
20200413:1110,2268.86,896.11,55.13,16.77,2.83,0.0
20200413:1210,1736.51,673.76,49.53,17.01,3.1,0.0
20200413:1310,1255.74,485.23,41.02,17.35,3.24,0.0
20200413:1410,981.63,381.08,30.97,16.9,2.97,0.0
20200413:1510,562.94,228.77,20.18,16.15,2.48,0.0
20200413:1610,187.55,96.75,9.16,15.04,2.0,0.0
20200413:1710,0.0,0.0,0.0,13.24,1.52,0.0
20200413:1810,0.0,0.0,0.0,10.85,1.59,0.0
20200413:1910,0.0,0.0,0.0,9.77,1.72,0.0
20200413:2010,0.0,0.0,0.0,8.53,1.72,0.0
20200413:2110,0.0,0.0,0.0,7.4,1.79,0.0
20200413:2210,0.0,0.0,0.0,6.55,1.79,0.0
20200413:2310,0.0,0.0,0.0,5.65,1.79,0.0
20200414:0010,0.0,0.0,0.0,4.86,1.79,0.0
20200414:0110,0.0,0.0,0.0,4.45,1.72,0.0
20200414:0210,0.0,0.0,0.0,4.27,1.72,0.0
20200414:0310,0.0,0.0,0.0,4.09,1.72,0.0
20200414:0410,0.0,3.87,3.39,3.91,1.66,0.0
20200414:0510,193.18,85.9,14.38,5.07,1.45,0.0
20200414:0610,316.19,131.67,25.35,9.4,1.31,0.0
20200414:0710,764.22,294.54,35.9,10.99,1.59,0.0
20200414:0810,1884.64,722.68,45.41,12.65,2.14,0.0
20200414:0910,2369.31,920.43,52.85,13.31,2.76,0.0
20200414:1010,1789.09,689.68,56.62,14.21,2.69,0.0
20200414:1110,1655.52,639.23,55.46,15.47,2.9,0.0
20200414:1210,780.67,306.26,49.81,16.17,3.1,0.0
20200414:1310,220.13,99.22,41.26,16.2,3.45,0.0
20200414:1410,199.9,91.36,31.18,15.62,3.72,0.0
20200414:1510,160.03,75.64,20.38,13.67,3.17,0.0
20200414:1610,40.99,27.51,9.35,11.52,2.28,0.0
20200414:1710,0.0,0.0,0.0,10.01,1.66,0.0
20200414:1810,0.0,0.0,0.0,8.61,1.86,0.0
20200414:1910,0.0,0.0,0.0,6.85,1.59,0.0
20200414:2010,0.0,0.0,0.0,5.75,2.76,0.0
20200414:2110,0.0,0.0,0.0,3.08,2.76,0.0
20200414:2210,0.0,0.0,0.0,1.37,2.28,0.0
20200414:2310,0.0,0.0,0.0,0.87,1.93,0.0
20200415:0010,0.0,0.0,0.0,0.58,1.52,0.0
20200415:0110,0.0,0.0,0.0,0.54,1.72,0.0
20200415:0210,0.0,0.0,0.0,0.33,1.45,0.0
20200415:0310,0.0,0.0,0.0,0.24,1.38,0.0
20200415:0410,7.71,10.64,3.68,0.15,1.38,0.0
20200415:0510,135.26,62.87,14.67,0.36,1.86,0.0
20200415:0610,533.57,202.01,25.64,0.77,2.21,0.0
20200415:0710,770.88,283.55,36.21,0.94,2.07,0.0
20200415:0810,943.74,344.84,45.74,1.64,2.21,0.0
20200415:0910,556.35,211.21,53.2,2.94,2.62,0.0
20200415:1010,1310.98,478.72,56.99,3.5,2.69,0.0
20200415:1110,589.15,223.98,55.8,4.38,2.62,0.0
20200415:1210,521.44,200.4,50.09,4.47,2.62,0.0
20200415:1310,1093.54,400.72,41.49,4.28,2.62,0.0
20200415:1410,202.56,88.41,31.38,4.4,2.07,0.0
20200415:1510,329.57,133.63,20.57,4.26,1.93,0.0
20200415:1610,235.62,115.99,9.54,4.0,2.07,0.0
20200415:1710,0.0,0.0,0.0,3.39,1.79,0.0
20200415:1810,0.0,0.0,0.0,2.85,1.03,0.0
20200415:1910,0.0,0.0,0.0,1.51,0.69,0.0
20200415:2010,0.0,0.0,0.0,1.46,0.48,0.0
20200415:2110,0.0,0.0,0.0,1.05,0.48,0.0
20200415:2210,0.0,0.0,0.0,0.87,0.41,0.0
20200415:2310,0.0,0.0,0.0,0.81,0.34,0.0
20200416:0010,0.0,0.0,0.0,0.87,0.55,0.0
20200416:0110,0.0,0.0,0.0,0.78,0.62,0.0
20200416:0210,0.0,0.0,0.0,0.59,0.76,0.0
20200416:0310,0.0,0.0,0.0,0.3,0.83,0.0
20200416:0410,22.88,18.38,3.97,0.17,0.76,0.0
20200416:0510,424.67,190.36,14.95,0.75,0.55,0.0
20200416:0610,1119.87,423.69,25.93,3.26,0.41,0.0
20200416:0710,1762.59,661.7,36.51,5.17,0.62,0.0
20200416:0810,2206.21,853.63,46.07,7.06,0.55,0.0
20200416:0910,2481.76,991.59,53.55,8.95,0.48,0.0
20200416:1010,2598.56,1059.4,57.35,10.66,0.48,0.0
20200416:1110,2540.58,1038.05,56.12,12.12,0.55,0.0
20200416:1210,2382.56,964.92,50.36,13.28,0.62,0.0
20200416:1310,2057.06,815.93,41.72,14.12,0.76,0.0
20200416:1410,1583.49,618.14,31.59,14.48,0.83,0.0
20200416:1510,928.32,373.69,20.76,14.43,0.97,0.0
20200416:1610,250.75,134.45,9.73,13.76,0.69,0.0
20200416:1710,0.0,0.0,0.0,12.9,0.34,0.0
20200416:1810,0.0,0.0,0.0,11.33,0.97,0.0
20200416:1910,0.0,0.0,0.0,12.3,0.97,0.0
20200416:2010,0.0,0.0,0.0,9.32,1.31,0.0
20200416:2110,0.0,0.0,0.0,7.22,1.52,0.0
20200416:2210,0.0,0.0,0.0,5.5,1.72,0.0
20200416:2310,0.0,0.0,0.0,4.16,1.72,0.0
20200417:0010,0.0,0.0,0.0,3.27,1.72,0.0
20200417:0110,0.0,0.0,0.0,2.88,1.72,0.0
20200417:0210,0.0,0.0,0.0,2.55,1.79,0.0
20200417:0310,0.0,0.0,0.0,2.21,1.79,0.0
20200417:0410,12.86,13.54,4.25,2.12,1.72,0.0
20200417:0510,344.45,144.96,15.23,3.56,1.45,0.0
20200417:0610,720.19,277.11,26.21,7.8,1.03,0.0
20200417:0710,1053.73,402.19,36.8,10.9,1.1,0.0
20200417:0810,1617.73,626.44,46.39,13.18,1.17,0.0
20200417:0910,1967.71,776.22,53.9,14.9,1.45,0.0
20200417:1010,2184.61,871.01,57.7,16.26,1.86,0.0
20200417:1110,2545.6,1028.19,56.45,17.32,2.28,0.0
20200417:1210,2378.46,949.78,50.63,17.98,2.55,0.0
20200417:1310,2044.74,803.28,41.95,18.24,2.69,0.0
20200417:1410,1556.0,605.67,31.79,18.1,2.62,0.0
20200417:1510,900.32,364.14,20.95,17.58,2.41,0.0
20200417:1610,252.58,136.51,9.92,16.39,1.72,0.0
20200417:1710,0.0,0.0,0.0,14.15,1.52,0.0
20200417:1810,0.0,0.0,0.0,12.27,1.38,0.0
20200417:1910,0.0,0.0,0.0,12.02,1.31,0.0
20200417:2010,0.0,0.0,0.0,11.2,1.38,0.0
20200417:2110,0.0,0.0,0.0,10.6,1.31,0.0
20200417:2210,0.0,0.0,0.0,9.89,1.38,0.0
20200417:2310,0.0,0.0,0.0,8.9,1.45,0.0
20200418:0010,0.0,0.0,0.0,7.82,1.52,0.0
20200418:0110,0.0,0.0,0.0,7.2,1.45,0.0
20200418:0210,0.0,0.0,0.0,6.59,1.52,0.0
20200418:0310,0.0,0.0,0.0,6.22,1.45,0.0
20200418:0410,34.66,24.18,4.53,6.04,1.38,0.0
20200418:0510,424.9,191.26,15.51,6.65,1.24,0.0
